word,diffs
lived,-0.002173676171331379
determine,0.09574239319837552
explaining,0.14530427483211517
injured,0.024543285281961646
rejected,0.15915372469397623
studied,0.04397604474922079
enter,0.12563325463112923
discussing,0.163591543234965
ignore,0.09272997921355897
managed,0.02162233831537924
reflect,0.15379850706210796
tells,0.09391108993872846
modified,0.10546423968392571
expressed,0.09468901534485333
claiming,0.11096007309369377
paying,0.0580236528572152
lose,0.08876195092674144
denied,0.1205231729254625
captured,0.04777354970725195
indicate,0.17653535141075605
promoting,0.18002106065070544
owned,0.06278611837202369
arrived,0.026969377839583863
warned,0.10916031068488447
granted,0.09693457032712721
leads,0.10657090551248705
committed,0.05144092666953892
joining,0.10528998084015584
attacked,0.10694465224368421
obtained,0.033898485836872716
seek,0.11569317410550756
visited,0.1618148029109034
