word,pair,type,freq,file,register
more,more/less,add,9668,w_acad_2000.txt,academic
less,more/less,subtract,4529,w_acad_2000.txt,academic
most,most/least,add,6054,w_acad_2000.txt,academic
least,most/least,subtract,1324,w_acad_2000.txt,academic
many,many/few,add,3887,w_acad_2000.txt,academic
few,many/few,subtract,1488,w_acad_2000.txt,academic
increase,increase/decrease,add,2229,w_acad_2000.txt,academic
decrease,increase/decrease,subtract,416,w_acad_2000.txt,academic
add,add/subtract,add,4109,w_acad_2001.txt,academic
subtract,add/subtract,subtract,48,w_acad_2001.txt,academic
addition,addition/subtraction,add,1735,w_acad_2001.txt,academic
subtraction,addition/subtraction,subtract,6,w_acad_2001.txt,academic
plus,plus/minus,add,211,w_acad_2001.txt,academic
minus,plus/minus,subtract,92,w_acad_2001.txt,academic
more,more/less,add,9995,w_acad_2001.txt,academic
less,more/less,subtract,4544,w_acad_2001.txt,academic
most,most/least,add,5447,w_acad_2001.txt,academic
least,most/least,subtract,1256,w_acad_2001.txt,academic
many,many/few,add,3849,w_acad_2001.txt,academic
few,many/few,subtract,1398,w_acad_2001.txt,academic
increase,increase/decrease,add,2276,w_acad_2001.txt,academic
decrease,increase/decrease,subtract,410,w_acad_2001.txt,academic
add,add/subtract,add,4023,w_acad_2002.txt,academic
subtract,add/subtract,subtract,40,w_acad_2002.txt,academic
addition,addition/subtraction,add,1555,w_acad_2002.txt,academic
subtraction,addition/subtraction,subtract,15,w_acad_2002.txt,academic
plus,plus/minus,add,239,w_acad_2002.txt,academic
minus,plus/minus,subtract,41,w_acad_2002.txt,academic
more,more/less,add,10307,w_acad_2002.txt,academic
less,more/less,subtract,4703,w_acad_2002.txt,academic
most,most/least,add,5843,w_acad_2002.txt,academic
least,most/least,subtract,1318,w_acad_2002.txt,academic
many,many/few,add,3945,w_acad_2002.txt,academic
few,many/few,subtract,1552,w_acad_2002.txt,academic
increase,increase/decrease,add,2101,w_acad_2002.txt,academic
decrease,increase/decrease,subtract,377,w_acad_2002.txt,academic
add,add/subtract,add,3997,w_acad_2003.txt,academic
subtract,add/subtract,subtract,23,w_acad_2003.txt,academic
addition,addition/subtraction,add,1641,w_acad_2003.txt,academic
subtraction,addition/subtraction,subtract,6,w_acad_2003.txt,academic
plus,plus/minus,add,208,w_acad_2003.txt,academic
minus,plus/minus,subtract,28,w_acad_2003.txt,academic
more,more/less,add,10771,w_acad_2003.txt,academic
less,more/less,subtract,5064,w_acad_2003.txt,academic
most,most/least,add,5628,w_acad_2003.txt,academic
least,most/least,subtract,1189,w_acad_2003.txt,academic
many,many/few,add,4102,w_acad_2003.txt,academic
few,many/few,subtract,1558,w_acad_2003.txt,academic
increase,increase/decrease,add,2126,w_acad_2003.txt,academic
decrease,increase/decrease,subtract,402,w_acad_2003.txt,academic
add,add/subtract,add,4074,w_acad_2004.txt,academic
subtract,add/subtract,subtract,19,w_acad_2004.txt,academic
addition,addition/subtraction,add,1668,w_acad_2004.txt,academic
subtraction,addition/subtraction,subtract,1,w_acad_2004.txt,academic
plus,plus/minus,add,202,w_acad_2004.txt,academic
minus,plus/minus,subtract,26,w_acad_2004.txt,academic
more,more/less,add,10699,w_acad_2004.txt,academic
less,more/less,subtract,4653,w_acad_2004.txt,academic
most,most/least,add,5577,w_acad_2004.txt,academic
least,most/least,subtract,1157,w_acad_2004.txt,academic
many,many/few,add,3932,w_acad_2004.txt,academic
few,many/few,subtract,1585,w_acad_2004.txt,academic
increase,increase/decrease,add,2218,w_acad_2004.txt,academic
decrease,increase/decrease,subtract,524,w_acad_2004.txt,academic
add,add/subtract,add,4136,w_acad_2005.txt,academic
subtract,add/subtract,subtract,26,w_acad_2005.txt,academic
addition,addition/subtraction,add,1665,w_acad_2005.txt,academic
subtraction,addition/subtraction,subtract,7,w_acad_2005.txt,academic
plus,plus/minus,add,157,w_acad_2005.txt,academic
minus,plus/minus,subtract,33,w_acad_2005.txt,academic
more,more/less,add,10453,w_acad_2005.txt,academic
less,more/less,subtract,4722,w_acad_2005.txt,academic
most,most/least,add,5750,w_acad_2005.txt,academic
least,most/least,subtract,1134,w_acad_2005.txt,academic
many,many/few,add,4053,w_acad_2005.txt,academic
few,many/few,subtract,1543,w_acad_2005.txt,academic
increase,increase/decrease,add,2289,w_acad_2005.txt,academic
decrease,increase/decrease,subtract,404,w_acad_2005.txt,academic
add,add/subtract,add,4584,w_acad_2006.txt,academic
subtract,add/subtract,subtract,25,w_acad_2006.txt,academic
addition,addition/subtraction,add,2019,w_acad_2006.txt,academic
subtraction,addition/subtraction,subtract,6,w_acad_2006.txt,academic
plus,plus/minus,add,211,w_acad_2006.txt,academic
minus,plus/minus,subtract,46,w_acad_2006.txt,academic
more,more/less,add,10817,w_acad_2006.txt,academic
less,more/less,subtract,4656,w_acad_2006.txt,academic
most,most/least,add,5905,w_acad_2006.txt,academic
least,most/least,subtract,1270,w_acad_2006.txt,academic
many,many/few,add,4477,w_acad_2006.txt,academic
few,many/few,subtract,1637,w_acad_2006.txt,academic
increase,increase/decrease,add,2345,w_acad_2006.txt,academic
decrease,increase/decrease,subtract,408,w_acad_2006.txt,academic
add,add/subtract,add,4418,w_acad_2007.txt,academic
subtract,add/subtract,subtract,75,w_acad_2007.txt,academic
addition,addition/subtraction,add,1713,w_acad_2007.txt,academic
subtraction,addition/subtraction,subtract,40,w_acad_2007.txt,academic
plus,plus/minus,add,246,w_acad_2007.txt,academic
minus,plus/minus,subtract,30,w_acad_2007.txt,academic
more,more/less,add,10722,w_acad_2007.txt,academic
