binomial,type,function_word,pair,freq,file,register
increase and decrease,add_first,and,5,0,w_acad_1998.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_1998.txt,academic
many or few,add_first,or,6,0,w_acad_1998.txt,academic
few or many,sub_first,or,6,0,w_acad_1998.txt,academic
many and few,add_first,and,6,0,w_acad_1998.txt,academic
few and many,sub_first,and,6,0,w_acad_1998.txt,academic
most or least,add_first,or,7,0,w_acad_1998.txt,academic
least or most,sub_first,or,7,0,w_acad_1998.txt,academic
most and least,add_first,and,7,1,w_acad_1998.txt,academic
least and most,sub_first,and,7,1,w_acad_1998.txt,academic
add and subtract,add_first,and,1,0,w_acad_1999.txt,academic
subtract and add,sub_first,and,1,0,w_acad_1999.txt,academic
add or subtract,add_first,or,1,0,w_acad_1999.txt,academic
subtract or add,sub_first,or,1,0,w_acad_1999.txt,academic
plus and minus,add_first,and,2,1,w_acad_1999.txt,academic
minus and plus,sub_first,and,2,0,w_acad_1999.txt,academic
plus or minus,add_first,or,2,2,w_acad_1999.txt,academic
minus or plus,sub_first,or,2,0,w_acad_1999.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_1999.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_1999.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_1999.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_1999.txt,academic
more or less,add_first,or,4,100,w_acad_1999.txt,academic
less or more,sub_first,or,4,0,w_acad_1999.txt,academic
more and less,add_first,and,4,0,w_acad_1999.txt,academic
less and more,sub_first,and,4,0,w_acad_1999.txt,academic
increase or decrease,add_first,or,5,2,w_acad_1999.txt,academic
decrease or increase,sub_first,or,5,0,w_acad_1999.txt,academic
increase and decrease,add_first,and,5,0,w_acad_1999.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_1999.txt,academic
many or few,add_first,or,6,3,w_acad_1999.txt,academic
few or many,sub_first,or,6,0,w_acad_1999.txt,academic
many and few,add_first,and,6,0,w_acad_1999.txt,academic
few and many,sub_first,and,6,0,w_acad_1999.txt,academic
most or least,add_first,or,7,0,w_acad_1999.txt,academic
least or most,sub_first,or,7,0,w_acad_1999.txt,academic
most and least,add_first,and,7,1,w_acad_1999.txt,academic
least and most,sub_first,and,7,0,w_acad_1999.txt,academic
add and subtract,add_first,and,1,1,w_acad_2000.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2000.txt,academic
add or subtract,add_first,or,1,0,w_acad_2000.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2000.txt,academic
plus and minus,add_first,and,2,2,w_acad_2000.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2000.txt,academic
plus or minus,add_first,or,2,4,w_acad_2000.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2000.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_2000.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2000.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_2000.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2000.txt,academic
more or less,add_first,or,4,70,w_acad_2000.txt,academic
less or more,sub_first,or,4,0,w_acad_2000.txt,academic
more and less,add_first,and,4,0,w_acad_2000.txt,academic
less and more,sub_first,and,4,0,w_acad_2000.txt,academic
increase or decrease,add_first,or,5,5,w_acad_2000.txt,academic
decrease or increase,sub_first,or,5,0,w_acad_2000.txt,academic
increase and decrease,add_first,and,5,0,w_acad_2000.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2000.txt,academic
many or few,add_first,or,6,0,w_acad_2000.txt,academic
few or many,sub_first,or,6,0,w_acad_2000.txt,academic
many and few,add_first,and,6,0,w_acad_2000.txt,academic
few and many,sub_first,and,6,0,w_acad_2000.txt,academic
most or least,add_first,or,7,0,w_acad_2000.txt,academic
least or most,sub_first,or,7,0,w_acad_2000.txt,academic
most and least,add_first,and,7,7,w_acad_2000.txt,academic
least and most,sub_first,and,7,0,w_acad_2000.txt,academic
add and subtract,add_first,and,1,0,w_acad_2001.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2001.txt,academic
add or subtract,add_first,or,1,1,w_acad_2001.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2001.txt,academic
plus and minus,add_first,and,2,0,w_acad_2001.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2001.txt,academic
plus or minus,add_first,or,2,3,w_acad_2001.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2001.txt,academic
addition and subtraction,add_first,and,3,0,w_acad_2001.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2001.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_2001.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2001.txt,academic
more or less,add_first,or,4,68,w_acad_2001.txt,academic
less or more,sub_first,or,4,0,w_acad_2001.txt,academic
more and less,add_first,and,4,1,w_acad_2001.txt,academic
less and more,sub_first,and,4,1,w_acad_2001.txt,academic
increase or decrease,add_first,or,5,4,w_acad_2001.txt,academic
decrease or increase,sub_first,or,5,1,w_acad_2001.txt,academic
increase and decrease,add_first,and,5,0,w_acad_2001.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2001.txt,academic
many or few,add_first,or,6,0,w_acad_2001.txt,academic
few or many,sub_first,or,6,1,w_acad_2001.txt,academic
many and few,add_first,and,6,0,w_acad_2001.txt,academic
few and many,sub_first,and,6,0,w_acad_2001.txt,academic
most or least,add_first,or,7,0,w_acad_2001.txt,academic
least or most,sub_first,or,7,0,w_acad_2001.txt,academic
most and least,add_first,and,7,5,w_acad_2001.txt,academic
least and most,sub_first,and,7,0,w_acad_2001.txt,academic
add and subtract,add_first,and,1,1,w_acad_2002.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2002.txt,academic
add or subtract,add_first,or,1,0,w_acad_2002.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2002.txt,academic
plus and minus,add_first,and,2,3,w_acad_2002.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2002.txt,academic
plus or minus,add_first,or,2,3,w_acad_2002.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2002.txt,academic
addition and subtraction,add_first,and,3,2,w_acad_2002.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2002.txt,academic
addition or subtraction,add_first,or,3,1,w_acad_2002.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2002.txt,academic
more or less,add_first,or,4,75,w_acad_2002.txt,academic
less or more,sub_first,or,4,0,w_acad_2002.txt,academic
more and less,add_first,and,4,2,w_acad_2002.txt,academic
less and more,sub_first,and,4,1,w_acad_2002.txt,academic
increase or decrease,add_first,or,5,2,w_acad_2002.txt,academic
decrease or increase,sub_first,or,5,1,w_acad_2002.txt,academic
increase and decrease,add_first,and,5,0,w_acad_2002.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2002.txt,academic
many or few,add_first,or,6,0,w_acad_2002.txt,academic
few or many,sub_first,or,6,0,w_acad_2002.txt,academic
many and few,add_first,and,6,0,w_acad_2002.txt,academic
few and many,sub_first,and,6,1,w_acad_2002.txt,academic
most or least,add_first,or,7,0,w_acad_2002.txt,academic
least or most,sub_first,or,7,0,w_acad_2002.txt,academic
most and least,add_first,and,7,1,w_acad_2002.txt,academic
least and most,sub_first,and,7,0,w_acad_2002.txt,academic
add and subtract,add_first,and,1,0,w_acad_2003.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2003.txt,academic
add or subtract,add_first,or,1,0,w_acad_2003.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2003.txt,academic
plus and minus,add_first,and,2,0,w_acad_2003.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2003.txt,academic
plus or minus,add_first,or,2,0,w_acad_2003.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2003.txt,academic
addition and subtraction,add_first,and,3,0,w_acad_2003.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2003.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_2003.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2003.txt,academic
more or less,add_first,or,4,77,w_acad_2003.txt,academic
less or more,sub_first,or,4,0,w_acad_2003.txt,academic
more and less,add_first,and,4,2,w_acad_2003.txt,academic
less and more,sub_first,and,4,1,w_acad_2003.txt,academic
increase or decrease,add_first,or,5,9,w_acad_2003.txt,academic
decrease or increase,sub_first,or,5,0,w_acad_2003.txt,academic
increase and decrease,add_first,and,5,3,w_acad_2003.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2003.txt,academic
many or few,add_first,or,6,0,w_acad_2003.txt,academic
few or many,sub_first,or,6,0,w_acad_2003.txt,academic
many and few,add_first,and,6,0,w_acad_2003.txt,academic
few and many,sub_first,and,6,0,w_acad_2003.txt,academic
most or least,add_first,or,7,1,w_acad_2003.txt,academic
least or most,sub_first,or,7,0,w_acad_2003.txt,academic
most and least,add_first,and,7,1,w_acad_2003.txt,academic
least and most,sub_first,and,7,1,w_acad_2003.txt,academic
add and subtract,add_first,and,1,0,w_acad_2004.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2004.txt,academic
add or subtract,add_first,or,1,0,w_acad_2004.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2004.txt,academic
plus and minus,add_first,and,2,2,w_acad_2004.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2004.txt,academic
plus or minus,add_first,or,2,1,w_acad_2004.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2004.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_2004.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2004.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_2004.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2004.txt,academic
more or less,add_first,or,4,72,w_acad_2004.txt,academic
less or more,sub_first,or,4,6,w_acad_2004.txt,academic
more and less,add_first,and,4,1,w_acad_2004.txt,academic
less and more,sub_first,and,4,1,w_acad_2004.txt,academic
increase or decrease,add_first,or,5,1,w_acad_2004.txt,academic
decrease or increase,sub_first,or,5,2,w_acad_2004.txt,academic
increase and decrease,add_first,and,5,0,w_acad_2004.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2004.txt,academic
many or few,add_first,or,6,0,w_acad_2004.txt,academic
few or many,sub_first,or,6,0,w_acad_2004.txt,academic
many and few,add_first,and,6,0,w_acad_2004.txt,academic
few and many,sub_first,and,6,0,w_acad_2004.txt,academic
most or least,add_first,or,7,2,w_acad_2004.txt,academic
least or most,sub_first,or,7,0,w_acad_2004.txt,academic
most and least,add_first,and,7,1,w_acad_2004.txt,academic
least and most,sub_first,and,7,0,w_acad_2004.txt,academic
add and subtract,add_first,and,1,1,w_acad_2005.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2005.txt,academic
add or subtract,add_first,or,1,0,w_acad_2005.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2005.txt,academic
plus and minus,add_first,and,2,0,w_acad_2005.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2005.txt,academic
plus or minus,add_first,or,2,3,w_acad_2005.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2005.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_2005.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2005.txt,academic
addition or subtraction,add_first,or,3,1,w_acad_2005.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2005.txt,academic
more or less,add_first,or,4,75,w_acad_2005.txt,academic
less or more,sub_first,or,4,0,w_acad_2005.txt,academic
more and less,add_first,and,4,2,w_acad_2005.txt,academic
less and more,sub_first,and,4,0,w_acad_2005.txt,academic
increase or decrease,add_first,or,5,3,w_acad_2005.txt,academic
decrease or increase,sub_first,or,5,1,w_acad_2005.txt,academic
increase and decrease,add_first,and,5,0,w_acad_2005.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_2005.txt,academic
many or few,add_first,or,6,0,w_acad_2005.txt,academic
few or many,sub_first,or,6,0,w_acad_2005.txt,academic
many and few,add_first,and,6,0,w_acad_2005.txt,academic
few and many,sub_first,and,6,0,w_acad_2005.txt,academic
most or least,add_first,or,7,0,w_acad_2005.txt,academic
least or most,sub_first,or,7,0,w_acad_2005.txt,academic
most and least,add_first,and,7,1,w_acad_2005.txt,academic
least and most,sub_first,and,7,0,w_acad_2005.txt,academic
add and subtract,add_first,and,1,0,w_acad_2006.txt,academic
subtract and add,sub_first,and,1,0,w_acad_2006.txt,academic
add or subtract,add_first,or,1,0,w_acad_2006.txt,academic
subtract or add,sub_first,or,1,0,w_acad_2006.txt,academic
plus and minus,add_first,and,2,1,w_acad_2006.txt,academic
minus and plus,sub_first,and,2,0,w_acad_2006.txt,academic
plus or minus,add_first,or,2,0,w_acad_2006.txt,academic
minus or plus,sub_first,or,2,0,w_acad_2006.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_2006.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_2006.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_2006.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_2006.txt,academic
more or less,add_first,or,4,56,w_acad_2006.txt,academic
less or more,sub_first,or,4,0,w_acad_2006.txt,academic
